Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Controllers\HomeController.cs,84,12,T:System.Uri,,,,,"if (!Uri.TryCreate(url, UriKind.Absolute, out var mediaUrl))              {                  return BadRequest(new { isSuccessful = false, errorMessage = ""The provided URL is invalid."" });              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Controllers\HomeController.cs,84,12,"M:System.Uri.TryCreate(System.String,System.UriKind,System.Uri@)",,,,,"if (!Uri.TryCreate(url, UriKind.Absolute, out var mediaUrl))              {                  return BadRequest(new { isSuccessful = false, errorMessage = ""The provided URL is invalid."" });              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Models\VideoModel.cs,10,31,T:System.Uri,,,,,set;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Models\VideoModel.cs,10,26,T:System.Uri,,,,,get;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Models\VideoModel.cs,8,8,T:System.Uri,,,,,public Uri? Url
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Interfaces\IMetadataService.cs,5,8,T:System.Uri,,,,, Task<string?> GetTitleAsync(Uri inputUri)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Interfaces\IMetadataService.cs,4,8,T:System.Uri,,,,, Task<string?> GetThumbnailUrlAsync(Uri inputUri)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Interfaces\IMediaFileProcessingService.cs,8,8,T:System.Uri,,,,," Task<PreviewMediaResult> GetPreviewMediaAsync(Uri url, string? connectionId = null)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Interfaces\IUrlValidationService.cs,4,8,T:System.Uri,,,,, Task<bool> IsUrlValidAsync(Uri url)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,291,12,M:System.TimeSpan.FromMilliseconds(System.Double),,,,,diff = diff.Add(TimeSpan.FromMilliseconds(200));
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,135,8,T:System.Uri,,,,,"public async Task<PreviewMediaResult> GetPreviewMediaAsync(Uri url, string? connectionId = null)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,92,20,T:System.Uri,,,,,"filePath = await CutFileAsync(                          filePath,                          model.Url.ToString(),                          model.StartTimestamp!,                          model.EndTimestamp!,                          model.Format,                          sessionFolder,                          async (progress) => await SendProgressToHubAsync(progress, connectionId));"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,79,20,T:System.Uri,,,,,"filePath = await DownloadMediaFileAsync(                          model.Url.ToString(),                          model.Format,                          model.Quality,                          async (progress) => await SendProgressToHubAsync(progress, connectionId),                          maxRetries,                          outputFolder: sessionFolder);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,75,20,T:System.Uri,,,,,"var isTikTokUrl = Regex.IsMatch(model.Url.ToString(), Constants.RegexConstants.TiktokUrlRegex);"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,59,16,T:System.Uri,,,,,var previewCacheKey = GetPreviewCacheKey(model.Url.ToString());
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,43,16,T:System.Uri,,,,,"throw new ArgumentNullException(nameof(model.Url), ""URL cannot be null"");"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MediaFileProcessingService.cs,41,12,T:System.Uri,,,,,"if (model.Url == null)              {                  throw new ArgumentNullException(nameof(model.Url), ""URL cannot be null"");              }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\UrlValidationService.cs,79,8,T:System.Uri,,,,,private static bool IsUrlFromSupportedPlatform(Uri url)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\UrlValidationService.cs,27,8,T:System.Uri,,,,,public async Task<bool> IsUrlValidAsync(Uri url)
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\UrlValidationService.cs,32,16,T:System.Uri,,,,,if (url.Scheme != Uri.UriSchemeHttp && url.Scheme != Uri.UriSchemeHttps)                  {                      return false;                  }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\UrlValidationService.cs,32,16,T:System.Uri,,,,,if (url.Scheme != Uri.UriSchemeHttp && url.Scheme != Uri.UriSchemeHttps)                  {                      return false;                  }
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,287,16,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,277,16,T:System.Uri,,,,,"var oembedUrl = string.Format(TikTokOEmbedUrl, Uri.EscapeDataString(url));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,275,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(TimeoutSeconds);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,260,16,T:System.Net.Http.HttpContent,,,,,var html = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,250,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(TimeoutSeconds);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,235,16,T:System.Net.Http.HttpContent,,,,,var html = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,204,16,T:System.Net.Http.HttpContent,,,,,var json = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,194,16,T:System.Uri,,,,,"var oembedUrl = string.Format(TikTokOEmbedUrl, Uri.EscapeDataString(url));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,192,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(TimeoutSeconds);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,177,16,T:System.Net.Http.HttpContent,,,,,var html = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,167,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(TimeoutSeconds);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,152,16,T:System.Net.Http.HttpContent,,,,,var html = await response.Content.ReadAsStringAsync();
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,123,16,T:System.Net.Http.HttpContent,,,,,var html = await response.Content.ReadAsStringAsync();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,113,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,client.Timeout = TimeSpan.FromSeconds(TimeoutSeconds);
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,ClipYT.csproj,File,Services\MetadataService.cs,69,8,T:System.Uri,,,,,public async Task<string?> GetThumbnailUrlAsync(Uri inputUri)
